date,title,url
2023-01-01 08:00:00,Upgrade your EBS Database to 19c on Exadata Cloud@Customer Gen 2 - Oracle Blogs,https://news.google.com/rss/articles/CBMiogFBVV95cUxOcEdVNHJGb1VBamhWVy1ST1pRRnZWWUZoZDhiamVnQzZPV194UkN4bG5ndmItMjktM3JTVjlhclJ0cUtLaE5wWnozZUllY2RIUFBDRzNrLXEyWHVjY19sS3QzcER2OTVuUnFreHliMGlLUEp3Xzc4dkU4bDZ3aHc3anpvYzVJS2VzdHd4eGtXQzdnYmFDWXZTd1BzVnQwaHRMd1E?oc=5
2023-01-10 08:00:00,Extending Fusion Analytics – Part 1 of 4 - Oracle Blogs,https://news.google.com/rss/articles/CBMid0FVX3lxTE1Bcl9KTkVpQWd2WjR3bThmQl9aTVYtd1RnWjhnZ0NfSWw4bjFPN2tkWkZydTlSSjRiUkpKN3A3WWNLdXNWZ05wdHBIanoyNE1aeUI2LVp6ZUw3YlVEZk8zQ2Q1a01oRmh2SFQxZ1JSSnR3NTlwSXVn?oc=5
2023-01-12 08:00:00,IBM and Oracle deliver AIG hospitality services on the cloud - FinTech Magazine,https://news.google.com/rss/articles/CBMingFBVV95cUxObG5FeDJXODVKRXdkckJxQ0tTX2RZOElhQzBDVUMtbFJsUlBjVmRqSWduNzVlZ3dGUjVDcmd5MEZfMEpvUVdqaTJoLWlCcDVnV1dVQ01ManhCUXF5SUpuSzdBRmpLY193cnNid1lVTmhfMngyUGFNbTNwSXlJbjlGcHNicXNaMmNyWDBXTFRtc2RZR3NuYXltLVNXbnFKQQ?oc=5
2023-01-13 08:00:00,"NASA feared Oracle audit, overpaid $15m for software - theregister.com",https://news.google.com/rss/articles/CBMifEFVX3lxTE9Bejh4REgwenVrd3dxZ3JwMjhZU0tRRDJwbGswVGliM2tEYVVObnlJV0lkT1ZqVkY1NEdBVC02b0NnR0FnOG5mcGJqSEdpeWI3RDdrTW9xenM1dTlEb3NwNUV5LTFvZHQ4UWs1MEd1bE5YSlFaR3hCNG5QLXo?oc=5
2023-01-13 08:00:00,Oracle Payment Cloud Service gives retailers transparency and pricing flexibility - IBS Intelligence,https://news.google.com/rss/articles/CBMivAFBVV95cUxPM2tDSmdBd1c5MG16NkZhMW05R0huQ05RTFpPY3p6QzJXVzRBTHdGdFBlTUVwSXJQc1NLRXVuSEt2ZExtd3lDTHZrOE9MNEpEWlhmNkZ5dlk1b0xLZy15WUdRdXNrSHF2b1N4OGNncTNBRDVXVktxakF1QTNrZzBLelBPNVJfTnhjWExacGdTbnhCb05pUHNFckF3T1lFd3JxR3dfNlowOEdDcGlPdzB2UXh1YTUzODM2LUV5OA?oc=5
2023-01-13 08:00:00,Oracle (ORCL) Makes In-Store Payment Easier at Retail Stores - Yahoo Finance,https://news.google.com/rss/articles/CBMigwFBVV95cUxQaFNHM3ROYThad2U5RTJQcm5RTzdOYnpYSmNtUGcxdnhDS29ScGp6bUllb0NmMmpHVm1hSmxzSzU5dEtwTDdfcUFLcHFxZ05kTlJRT0RnU0E0ZDlyU0tnWWY0bnNSZUVJQmp0d2hpQ0dUN0ctaEFYLUZNMS1iT0JUcDlWZw?oc=5
2023-01-16 08:00:00,SymphonyAI and Oracle helping retailers move to the cloud - Technology Magazine,https://news.google.com/rss/articles/CBMingFBVV95cUxQRUpJVmdkZEhTTzYtUkc1N056SnlidF83WmRLSG9maDJMZHNCb051S3djSEJPd3NXazNyMFNWWjhuVGJkR0dHTzhuNkl2ZHBrRU04TGFEbFNGXzNtSHhCSmp4WS1JNTd3NkQ0QW9xTC1paWZkTG9iSkVqUndMb21DMWVFRGhVTXl0cmY0U1NreEt3YTZ3cXN5Rmo4WEJmZw?oc=5
2023-01-18 08:00:00,Implement active-active replication with RDS Custom for Oracle: Part 1 – High Availability - Amazon Web Services (AWS),https://news.google.com/rss/articles/CBMiwwFBVV95cUxNOGl4R21GbUpnZWcxQ2pJT096WHZfeVdJOC14Yks4SkhQUUp1RkhoTTRfYTg4WjEybElmbmNfQ0hvc0hBUWFVM2RQVkxLRV9ya2V3S1RSMEhsdnBZX1hPRnRqRGo0anNYdWtQMjNxbXNhamtLaVRaMVZ2Q2ZMWDlycHFWUXJYcUdzOHZfelRnYlc0VTJ2Zi03cng0WU9IUTNINjI1ZnB3VmhvT2ozeUEzZnNzQXU5dXFlZmsxNWJieDZmbDA?oc=5
2023-02-03 08:00:00,Embedding Fusion Analytics Content in Oracle Application Cloud - Oracle Blogs,https://news.google.com/rss/articles/CBMingFBVV95cUxNZ2NMNGFnbVo5Y0VBNkpYYWFVWlpNUHJtaGVpclhiNFQwaDh4ckp0LVMzRDdRXzI0S0d3THVjSnZ4NDd6ZVpQVVVsTm5SVER2VDVFZThwbDUzamNEd0JlYjh3dlZpVmFseUZUczNBU0JxWmhtRWRxQ04tQmVPZ2x0MlZEelJoZHBwRDBlZmwyQlltUXZtS3Z6ak81TXlBdw?oc=5
2023-02-07 08:00:00,"Oracle reorganized its AI and data initiatives amid a leadership shake-up, leaked internal memo shows - Business Insider",https://news.google.com/rss/articles/CBMijAFBVV95cUxNQndTQ3NCWjRyWFdySE05R0huT0tzYTRyaks4dkx5TjlQckc3RFhrcHQ5THZvVWFCV0lTbEIwN25KNU5iQTBlTVNBRkdKYjdXYU9BUU4tUXFVSUk1dVNiZG1EdTYyRElkQ3JDWVFUVXVwcWJ6VlZLcVo2XzBsTDVhdTYyYUs5N2Rvb3Q3QQ?oc=5
2023-02-13 08:00:00,"TONOMUS teams with Oracle and NVIDIA to boost AI adoption across NEOM and Saudi Arabia, and empower innovation - NEOM",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1qV21sYnNzZThfSGtKam9LN3JybjluU2djWEg0ekJMd2hOaGtfZlJxaWtIeVEtSjQ2MUs0eXJSRHlZeVNBZkhNS09FRlR5bUFvM2ktWTFXNU1BRWdtc2NidkxqdzNtaDJ3?oc=5
